PRISM Time Series Data
Location:  Lat: 37.3868   Lon: -80.5021   Elev: 1005m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895-01 - 2023-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-May-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1981-01,12.93,-4.4
1981-02,89.48,-0.3
1981-03,75.49,1.8
1981-04,80.82,11.6
1981-05,146.56,12.8
1981-06,77.00,19.6
1981-07,162.55,20.0
1981-08,29.78,18.1
1981-09,85.73,14.8
1981-10,116.19,8.4
1981-11,29.52,4.3
1981-12,84.95,-3.0
1982-01,114.49,-5.0
1982-02,141.75,0.8
1982-03,77.78,5.3
1982-04,83.40,7.1
1982-05,84.67,16.5
1982-06,151.90,17.4
1982-07,109.22,19.9
1982-08,106.22,18.4
1982-09,54.62,15.0
1982-10,103.55,11.0
1982-11,106.01,6.4
1982-12,101.91,3.4
1983-01,45.09,-2.8
1983-02,86.94,-0.3
1983-03,115.43,4.2
1983-04,150.31,7.0
1983-05,129.55,12.7
1983-06,73.25,17.8
1983-07,89.59,20.3
1983-08,54.13,20.9
1983-09,35.47,16.2
1983-10,171.79,11.0
1983-11,84.32,5.4
1983-12,122.20,-1.3
1984-01,38.57,-2.7
1984-02,130.43,2.0
1984-03,127.27,1.6
1984-04,141.20,8.1
1984-05,157.75,13.0
1984-06,52.40,19.1
1984-07,121.69,19.4
1984-08,173.30,19.3
1984-09,13.77,14.8
1984-10,104.56,14.6
1984-11,80.21,3.3
1984-12,62.07,4.3
1985-01,56.60,-5.4
1985-02,82.02,-0.8
1985-03,45.78,5.6
1985-04,44.80,11.7
1985-05,134.93,15.5
1985-06,65.94,17.7
1985-07,154.13,19.6
1985-08,222.44,18.3
1985-09,11.05,15.5
1985-10,74.23,12.5
1985-11,230.62,9.8
1985-12,30.02,-2.1
1986-01,43.94,-3.0
1986-02,66.34,0.5
1986-03,59.09,3.5
1986-04,45.49,10.4
1986-05,162.13,14.3
1986-06,53.06,18.7
1986-07,168.76,21.4
1986-08,170.23,18.6
1986-09,145.18,17.2
1986-10,80.56,11.6
1986-11,138.67,6.1
1986-12,136.28,0.1
1987-01,101.71,-1.8
1987-02,84.40,0.0
1987-03,158.46,4.9
1987-04,252.57,7.9
1987-05,96.05,17.0
1987-06,72.36,19.7
1987-07,98.80,21.8
1987-08,44.46,21.2
1987-09,163.61,16.5
1987-10,47.99,8.1
1987-11,101.08,6.8
1987-12,100.75,1.9
1988-01,51.74,-4.3
1988-02,41.55,-1.1
1988-03,45.56,5.1
1988-04,118.96,9.3
1988-05,94.26,13.4
1988-06,54.90,18.3
1988-07,119.23,20.2
1988-08,94.74,20.6
1988-09,136.83,14.3
1988-10,54.88,5.2
1988-11,81.91,4.6
1988-12,45.64,-1.8
1989-01,61.58,1.3
1989-02,76.75,-0.8
1989-03,97.58,4.7
1989-04,110.96,7.2
1989-05,166.54,10.9
1989-06,170.00,18.5
1989-07,126.10,20.4
1989-08,74.19,19.0
1989-09,266.58,14.8
1989-10,140.85,9.9
1989-11,91.54,3.5
1989-12,58.53,-6.2
1990-01,65.26,1.7
1990-02,113.21,3.0
1990-03,118.87,6.0
1990-04,80.04,8.7
1990-05,216.87,12.8
1990-06,43.85,17.5
1990-07,102.90,19.4
1990-08,129.33,19.1
1990-09,46.80,16.1
1990-10,251.05,11.5
1990-11,40.25,6.2
1990-12,144.97,2.8
1991-01,79.33,-0.5
1991-02,63.18,0.7
1991-03,206.71,5.1
1991-04,97.23,10.7
1991-05,166.44,15.3
1991-06,51.14,18.2
1991-07,122.05,21.3
1991-08,63.73,19.4
1991-09,16.42,16.2
1991-10,7.03,10.9
1991-11,93.72,4.2
1991-12,155.63,2.0
1992-01,85.38,-0.6
1992-02,112.79,1.4
1992-03,101.94,3.2
1992-04,75.99,8.5
1992-05,170.75,12.0
1992-06,181.40,16.4
1992-07,83.97,20.5
1992-08,49.24,18.0
1992-09,45.13,16.3
1992-10,45.89,9.2
1992-11,132.27,5.1
1992-12,91.53,-0.2
1993-01,71.99,1.0
1993-02,88.84,-1.7
1993-03,245.53,1.2
1993-04,105.35,8.4
1993-05,57.94,14.5
1993-06,64.81,18.0
1993-07,53.06,22.2
1993-08,88.56,19.9
1993-09,119.43,17.0
1993-10,64.25,10.1
1993-11,83.55,4.2
1993-12,167.94,-1.7
1994-01,136.37,-4.3
1994-02,161.19,0.2
1994-03,165.61,4.0
1994-04,93.48,11.2
1994-05,60.13,11.1
1994-06,67.11,19.7
1994-07,173.73,20.3
1994-08,165.50,19.2
1994-09,28.45,14.8
1994-10,63.87,9.2
1994-11,47.46,7.5
1994-12,65.96,2.2
1995-01,171.80,-1.1
1995-02,79.93,-2.1
1995-03,65.72,5.9
1995-04,55.08,9.2
1995-05,132.18,13.4
1995-06,197.86,17.6
1995-07,67.57,20.6
1995-08,51.14,21.4
1995-09,86.45,14.8
1995-10,115.55,10.6
1995-11,95.35,2.0
1995-12,71.04,-2.2
1996-01,144.69,-2.2
1996-02,113.27,-1.2
1996-03,132.74,0.8
1996-04,61.47,8.3
1996-05,192.16,14.5
1996-06,118.90,18.4
1996-07,68.31,18.9
1996-08,174.45,18.8
1996-09,205.37,14.9
1996-10,53.90,10.2
1996-11,126.15,1.8
1996-12,148.19,1.0
1997-01,101.00,-2.1
1997-02,92.43,1.5
1997-03,133.04,5.9
1997-04,61.64,5.9
1997-05,68.69,11.2
1997-06,92.82,16.5
1997-07,82.97,20.4
1997-08,45.98,18.0
1997-09,79.40,14.8
1997-10,39.21,10.1
1997-11,82.40,2.1
1997-12,117.95,-0.6
1998-01,217.53,-0.1
1998-02,171.08,1.2
1998-03,124.44,2.8
1998-04,171.81,9.5
1998-05,238.79,15.4
1998-06,99.61,18.7
1998-07,51.17,20.3
1998-08,102.57,19.8
1998-09,29.11,17.8
1998-10,53.14,10.8
1998-11,25.93,5.3
1998-12,107.09,2.0
1999-01,114.62,0.2
1999-02,67.09,0.3
1999-03,94.00,1.4
1999-04,96.15,10.6
1999-05,118.53,13.6
1999-06,31.18,18.4
1999-07,140.30,21.6
1999-08,101.90,19.5
1999-09,214.89,15.1
1999-10,49.75,9.3
1999-11,72.23,7.3
1999-12,66.03,0.7
2000-01,68.04,-2.7
2000-02,56.54,1.4
2000-03,97.96,5.9
2000-04,157.45,8.6
2000-05,75.53,15.8
2000-06,133.75,19.2
2000-07,155.20,19.0
2000-08,122.70,18.8
2000-09,170.01,15.6
2000-10,0.14,10.7
2000-11,65.23,3.2
2000-12,70.75,-4.1
2001-01,56.42,-2.7
2001-02,45.41,1.9
2001-03,123.30,1.1
2001-04,29.45,10.5
2001-05,230.82,13.8
2001-06,99.87,17.9
2001-07,171.41,18.7
2001-08,80.19,20.0
2001-09,55.09,14.5
2001-10,28.27,8.9
2001-11,18.07,6.7
2001-12,79.58,2.3
2002-01,63.50,-0.1
2002-02,19.03,-0.3
2002-03,119.20,3.9
2002-04,117.11,10.5
2002-05,86.38,12.9
2002-06,82.34,18.9
2002-07,161.69,20.8
2002-08,45.77,20.1
2002-09,92.72,17.4
2002-10,120.06,11.0
2002-11,127.06,3.5
2002-12,132.84,-1.0
2003-01,44.04,-4.8
2003-02,174.03,-1.6
2003-03,98.57,5.4
2003-04,122.11,9.4
2003-05,224.77,13.5
2003-06,226.52,17.0
2003-07,181.83,19.9
2003-08,151.48,20.5
2003-09,128.98,15.5
2003-10,53.82,9.2
2003-11,148.40,7.1
2003-12,84.43,-1.2
2004-01,66.85,-3.0
2004-02,79.63,-1.1
2004-03,65.27,4.8
2004-04,117.62,9.4
2004-05,143.13,16.7
2004-06,121.81,18.0
2004-07,88.33,20.0
2004-08,83.42,18.3
2004-09,341.97,16.5
2004-10,78.33,11.5
2004-11,112.62,6.6
2004-12,99.18,-0.6
2005-01,87.89,0.2
2005-02,55.61,0.5
2005-03,133.24,1.8
2005-04,73.12,9.2
2005-05,74.61,12.2
2005-06,99.62,18.6
2005-07,160.81,21.5
2005-08,140.79,21.3
2005-09,17.02,17.4
2005-10,132.05,11.8
2005-11,134.30,5.9
2005-12,74.95,-1.7
2006-01,99.01,1.9
2006-02,38.48,-1.5
2006-03,36.81,3.8
2006-04,147.27,11.8
2006-05,54.17,12.5
2006-06,244.28,17.8
2006-07,107.06,20.3
2006-08,68.83,20.8
2006-09,124.45,14.6
2006-10,176.16,9.0
2006-11,111.64,5.7
2006-12,55.82,2.2
2007-01,84.25,0.2
2007-02,38.56,-4.3
2007-03,110.98,6.1
2007-04,104.90,8.3
2007-05,47.37,15.0
2007-06,100.89,18.9
2007-07,91.21,19.3
2007-08,19.95,22.1
2007-09,77.71,17.3
2007-10,144.35,13.5
2007-11,24.07,4.2
2007-12,84.06,2.5
2008-01,48.20,-2.1
2008-02,62.34,0.7
2008-03,86.97,4.0
2008-04,150.17,9.8
2008-05,101.86,13.0
2008-06,63.37,19.2
2008-07,142.11,19.6
2008-08,89.98,18.2
2008-09,60.78,16.7
2008-10,32.80,9.2
2008-11,54.02,2.7
2008-12,121.49,1.1
2009-01,100.11,-3.3
2009-02,32.63,-0.9
2009-03,118.47,4.7
2009-04,103.63,9.5
2009-05,255.60,14.8
2009-06,146.93,19.0
2009-07,131.27,18.4
2009-08,94.89,19.9
2009-09,71.13,16.1
2009-10,99.58,9.9
2009-11,135.45,6.5
2009-12,209.65,-1.0
2010-01,128.23,-3.8
2010-02,62.11,-4.4
2010-03,122.26,3.7
2010-04,51.87,11.3
2010-05,136.46,15.7
2010-06,92.12,20.9
2010-07,76.25,21.9
2010-08,145.73,21.1
2010-09,96.17,17.2
2010-10,72.70,10.8
2010-11,75.11,4.5
2010-12,98.64,-5.5
2011-01,21.45,-4.1
2011-02,52.57,1.1
2011-03,185.19,4.3
2011-04,223.15,11.1
2011-05,207.81,14.5
2011-06,63.63,19.3
2011-07,113.62,21.8
2011-08,17.93,20.2
2011-09,134.30,16.3
2011-10,86.17,9.4
2011-11,101.32,6.2
2011-12,113.63,2.1
2012-01,62.89,-0.5
2012-02,60.78,1.3
2012-03,102.59,8.6
2012-04,98.54,9.7
2012-05,119.66,16.1
2012-06,68.96,17.7
2012-07,83.24,22.1
2012-08,107.89,19.0
2012-09,143.43,15.6
2012-10,47.80,9.6
2012-11,27.51,2.4
2012-12,84.07,1.9
2013-01,171.46,0.3
2013-02,52.23,-1.7
2013-03,94.06,-0.0
2013-04,114.22,9.4
2013-05,113.78,13.2
2013-06,163.77,18.5
2013-07,232.23,20.3
2013-08,106.66,18.5
2013-09,55.38,15.7
2013-10,53.02,10.6
2013-11,84.14,3.1
2013-12,168.16,0.9
2014-01,54.59,-5.6
2014-02,102.84,-0.7
2014-03,74.47,1.6
2014-04,90.34,9.6
2014-05,95.37,14.9
2014-06,84.39,19.0
2014-07,60.93,19.4
2014-08,204.96,18.3
2014-09,70.98,16.3
2014-10,138.32,10.4
2014-11,88.07,1.6
2014-12,85.39,1.8
2015-01,48.78,-2.8
2015-02,76.40,-5.3
2015-03,116.27,3.9
2015-04,166.53,9.6
2015-05,89.07,15.6
2015-06,113.09,19.7
2015-07,179.18,20.7
2015-08,68.52,19.1
2015-09,186.70,16.6
2015-10,130.55,10.7
2015-11,95.30,7.4
2015-12,158.78,6.3
2016-01,73.31,-3.5
2016-02,135.70,-1.0
2016-03,56.68,6.9
2016-04,39.23,9.5
2016-05,159.16,13.4
2016-06,121.85,18.9
2016-07,126.95,21.2
2016-08,130.05,21.2
2016-09,89.76,19.0
2016-10,76.87,12.3
2016-11,48.57,6.7
2016-12,107.54,0.9
2017-01,135.26,0.9
2017-02,25.89,3.7
2017-03,94.36,3.8
2017-04,156.02,12.3
2017-05,230.16,14.5
2017-06,77.20,18.1
2017-07,146.67,21.1
2017-08,86.83,19.2
2017-09,50.02,15.8
2017-10,194.40,12.2
2017-11,36.68,5.1
2017-12,26.64,-0.7
2018-01,57.29,-4.1
2018-02,146.24,4.4
2018-03,122.06,1.5
2018-04,143.20,7.7
2018-05,230.65,17.7
2018-06,68.75,19.5
2018-07,83.09,20.5
2018-08,210.61,20.2
2018-09,238.81,19.2
2018-10,120.40,11.6
2018-11,140.31,3.2
2018-12,182.80,1.2
2019-01,116.24,-1.5
2019-02,179.20,2.7
2019-03,80.25,3.0
2019-04,161.65,10.9
2019-05,125.38,17.3
2019-06,141.79,18.1
2019-07,129.76,21.3
2019-08,57.99,20.2
2019-09,11.58,19.6
2019-10,190.85,12.7
2019-11,67.24,3.0
2019-12,108.50,2.4
2020-01,85.16,0.7
2020-02,170.74,1.6
2020-03,129.86,7.3
2020-04,207.53,8.0
2020-05,241.87,12.3
2020-06,183.54,18.1
2020-07,99.96,22.4
2020-08,119.01,20.5
2020-09,124.94,17.0
2020-10,119.13,12.0
2020-11,97.49,7.3
2020-12,123.51,-0.2
2021-01,131.05,-1.2
2021-02,150.02,-1.0
2021-03,107.30,5.9
2021-04,86.50,8.8
2021-05,55.07,13.1
2021-06,80.04,18.5
2021-07,46.94,20.4
2021-08,119.51,21.0
2021-09,187.26,16.4
2021-10,69.84,13.0
2021-11,32.05,3.3
2021-12,43.50,4.7
2022-01,116.59,-3.4
2022-02,105.96,0.8
2022-03,71.17,5.6
2022-04,66.81,9.5
2022-05,177.56,15.5
2022-06,71.41,19.0
2022-07,114.26,21.3
2022-08,138.73,19.7
2022-09,75.62,16.0
2022-10,111.88,9.0
2022-11,137.93,5.9
2022-12,111.06,-0.5
2023-01,89.28,2.5
2023-02,109.10,4.7
2023-03,71.53,4.9
2023-04,155.76,10.5
2023-05,110.18,13.0
2023-06,78.38,16.0
2023-07,124.27,20.6
2023-08,61.90,19.7
2023-09,54.68,16.5
2023-10,39.17,11.6
2023-11,66.16,4.8
2023-12,152.21,3.3
